system,sequence,ate_run1,ate_run2,ate_run3,ate_min,ate_max,ate_ratio,rte_ratio,cross1,cross10,ratio_ge2,ratio_ge10
ORB-SLAM3,MIO12,49.0566262011,20.7281142045,36.0991050943,20.7281142045,49.0566262011,2.366670972434626,14.328014388584327,False,False,True,False
ORB-SLAM3,MIO13,710.8464932411,2288.1815752833,1597.7473135157,710.8464932411,2288.1815752833,3.2189531734908767,2.7189658987328045,False,False,True,False
ORB-SLAM3,MIO14,0.8926980827,0.8775352197,0.8849918686,0.8775352197,0.8926980827,1.017278922440496,1.0059043359463837,False,False,False,False
ORB-SLAM3,MIO15,0.6296164424,1305.5372940013,0.4324578716,0.4324578716,1305.5372940013,3018.8773976320426,89.16394105866951,True,True,True,True
ORB-SLAM3,MIO16,0.826249023,0.6447762577,0.6538524494,0.6447762577,0.826249023,1.281450756185311,2.1729517036653934,False,False,False,False
ORB-SLAM3,MIPB01,0.1110612025,0.1141478156,0.1130682392,0.1110612025,0.1141478156,1.0277920014417277,1.0054337933455184,False,False,False,False
ORB-SLAM3,MIPB02,0.2064034103,0.0582143538,0.0601906185,0.0582143538,0.2064034103,3.545575907431957,2.076898310724955,False,False,True,False
ORB-SLAM3,MIPB03,0.1272009986,0.1321426971,0.4656352298,0.1272009986,0.4656352298,3.6606255841139284,3.9542484689619672,False,False,True,False
ORB-SLAM3,MIPB04,0.164961847,0.1688233768,0.1630543958,0.1630543958,0.1688233768,1.0353807143419558,1.0149735596536598,False,False,False,False
ORB-SLAM3,MIPB05,0.5674703568,0.5924549418,0.589689299,0.5674703568,0.5924549418,1.0440280002305136,1.0116654062069639,False,False,False,False
ORB-SLAM3,MIPB06,0.3063979838,0.7772234285,0.3018457269,0.3018457269,0.7772234285,2.5749028700263508,1.3979563728007847,False,False,True,False
ORB-SLAM3,MIPB07,0.5439899714,0.5662511801,0.5397517767,0.5397517767,0.5662511801,1.0490955371411934,1.0446827112206563,False,False,False,False
ORB-SLAM3,MIPP01,0.473961438,0.5198777075,1.8459538332,0.473961438,1.8459538332,3.894734223504487,9.889283363799825,True,False,True,False
ORB-SLAM3,MIPP02,0.0923886774,0.64572048,0.0977993682,0.0923886774,0.64572048,6.98917332915516,3.7484626870771938,False,False,True,False
ORB-SLAM3,MIPP03,0.5400756933,0.4952764162,0.2718283142,0.2718283142,0.5400756933,1.9868264823311776,2.7573218894937015,False,False,False,False
ORB-SLAM3,MIPP04,0.4431821433,0.4478197403,0.4543968749,0.4431821433,0.4543968749,1.025305016841368,1.0965893498116168,False,False,False,False
ORB-SLAM3,MIPP05,0.0612206002,0.060346691,0.0600961048,0.0600961048,0.0612206002,1.018711618727076,1.0081486292601514,False,False,False,False
ORB-SLAM3,MIPP06,0.953577094,5.9727248138,19.8119574838,0.953577094,19.8119574838,20.776461188569616,3.9259143108169052,True,True,True,True
